pais,bioma,ecorregion,epoca,anio_inicio,anio_fin,area_bosque_km2,area_bosque_ha,area_bosque_canchas,area_terrestre_km2,pct_bosque,kappa_modelo,oa_modelo,classified_tif,png_mapa
Bolivia,SECO,Bosque seco chiquitano,2012-2014,2012,2014,313.5642,31356.42,43917.0,1002.3465,31.283,0.8836,0.9561,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2012_2014_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2012_2014_mapa.png
Bolivia,SECO,Bosque seco chiquitano,2015-2017,2015,2017,233.6437,23364.37,32723.0,1002.3465,23.3097,0.8836,0.9561,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2015_2017_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2015_2017_mapa.png
Bolivia,SECO,Bosque seco chiquitano,2018-2020,2018,2020,173.9561,17395.61,24364.0,1002.3465,17.3549,0.8836,0.9561,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2018_2020_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2018_2020_mapa.png
Bolivia,SECO,Bosque seco chiquitano,2021-2023,2021,2023,142.0731,14207.31,19898.0,1002.3465,14.1741,0.8836,0.9561,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2021_2023_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2021_2023_mapa.png
Bolivia,SECO,Bosque seco chiquitano,2024-2026,2024,2026,171.8383,17183.83,24067.0,1002.3465,17.1436,0.8836,0.9561,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2024_2026_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\bolivia\bolivia_2024_2026_mapa.png
Colombia,HUMEDO_SUR,Bosque humedo amazonico del noroeste,2012-2014,2012,2014,716.4315,71643.15,100340.0,1002.0753,71.4958,0.6396,0.9557,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2012_2014_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2012_2014_mapa.png
Colombia,HUMEDO_SUR,Bosque humedo amazonico del noroeste,2015-2017,2015,2017,705.1833,70518.33,98765.0,1002.0753,70.3723,0.6396,0.9557,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2015_2017_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2015_2017_mapa.png
Colombia,HUMEDO_SUR,Bosque humedo amazonico del noroeste,2018-2020,2018,2020,679.5199,67951.99,95171.0,1002.0753,67.8113,0.6396,0.9557,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2018_2020_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2018_2020_mapa.png
Colombia,HUMEDO_SUR,Bosque humedo amazonico del noroeste,2021-2023,2021,2023,629.4233,62942.33,88155.0,1002.0753,62.812,0.6396,0.9557,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2021_2023_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2021_2023_mapa.png
Colombia,HUMEDO_SUR,Bosque humedo amazonico del noroeste,2024-2026,2024,2026,648.4362,64843.62,90817.0,1002.0753,64.7093,0.6396,0.9557,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2024_2026_bosque_probable.tif,C:\Users\victo\Documents\Sandbox\DENSIDAD DE BOSQUES\grupo_a\colombia\colombia_2024_2026_mapa.png
